,Country,Year,Status,Life.expectancy,Adult.Mortality,infant.deaths,Alcohol,percentage.expenditure,Hepatitis.B,Measles,BMI,under.five.deaths,Polio,Total.expenditure,Diphtheria,HIV.AIDS,GDP,Population,thinness..1.19.years,thinness.5.9.years,Income.composition.of.resources,Schooling
2748,United Arab Emirates,2014,Developing,76.9,77,1,1.91,3862.68271,99,344,62.4,1,99,3.64,99,0.1,44449.7435,#N/A,5.2,5,0.832,13.3
2764,United Kingdom of Great Britain and Northern Ireland,2014,Developed,81,71,3,10.37,0,#N/A,133,66,4,95,9.12,95,0.1,#N/A,#N/A,0.8,0.5,#N/A,#N/A
2780,United Republic of Tanzania,2014,Developing,67,34,86,0.01,0,97,88,23.2,121,97,5.58,97,1.4,#N/A,#N/A,6.8,6.6,#N/A,#N/A
2796,United States of America,2014,Developed,79.1,14,23,8.82,0,92,667,69.1,27,93,17.14,95,0.1,#N/A,#N/A,0.8,0.6,#N/A,#N/A
2812,Uruguay,2014,Developing,76.8,117,0,6.03,463.6397821,95,0,63.4,0,95,8.58,95,0.1,16737.89827,3419546,1.5,1.4,0.791,15.5
2828,Uzbekistan,2014,Developing,69.2,184,16,0.01,0.442802404,99,8,43.9,18,99,5.84,99,0.1,25.448414,37577,3,3.1,0.69,12.1
2844,Vanuatu,2014,Developing,71.7,134,0,0.01,564.8167043,64,10,52.5,0,65,5.2,64,0.1,3148.36513,25885,1.5,1.4,0.596,10.8
2860,Venezuela (Bolivarian Republic of),2014,Developing,73.9,158,9,6.47,0,78,0,61.5,10,79,5.26,78,0.1,#N/A,#N/A,1.6,1.5,0.771,14.2
2876,Viet Nam,2014,Developing,75.9,128,28,4.09,0,95,15033,16.7,35,96,7.7,95,0.1,#N/A,#N/A,14.3,14.7,0.675,12.5
2892,Yemen,2014,Developing,65.4,228,37,0.01,0,73,815,4.4,47,67,5.64,73,0.1,#N/A,#N/A,13.7,13.5,0.5,9
2908,Zambia,2014,Developing,61.1,314,28,0.01,196.6675768,86,9,22.8,41,78,4.99,86,4.3,1738.8822,1562974,6.3,6.2,0.57,12.5
2924,Zimbabwe,2014,Developing,59.2,371,23,6.5,10.82259524,91,0,31.3,34,92,6.44,91,6.3,127.47462,15411675,5.9,5.7,0.498,10.3
